ENSMUSG00000056204|Pgpep1
ENSMUSG00000022687|Boc
ENSMUSG00000069310|Hist1h3c
ENSMUSG00000052504|Epha3
ENSMUSG00000020108|Ddit4
ENSMUSG00000108616|Gm35040
ENSMUSG00000046999|1110032F04Rik
ENSMUSG00000029408|Abcb9
ENSMUSG00000057329|Bcl2
ENSMUSG00000087131|Gm16152
ENSMUSG00000058254|Tspan7
