ENSMUSG00000069309|Hist1h2an
ENSMUSG00000094777|Hist1h2ap
ENSMUSG00000058773|Hist1h1b
ENSMUSG00000020956|Dtd2
ENSMUSG00000034220|Gpc1
ENSMUSG00000049295|Zfp219
ENSMUSG00000030257|Srgap3
ENSMUSG00000068115|Ninl
ENSMUSG00000026556|Vangl2
ENSMUSG00000044768|D1Ertd622e
ENSMUSG00000021364|Elovl2
