ENSMUSG00000038020|Rapgefl1
ENSMUSG00000049323|Smcr8
ENSMUSG00000020366|Mapk9
ENSMUSG00000020311|Erlec1
ENSMUSG00000051444|Bbs12
ENSMUSG00000090150|Acad11
ENSMUSG00000035765|Dym
ENSMUSG00000038150|Ormdl3
ENSMUSG00000046034|Otulin
ENSMUSG00000025354|Dnajc14
ENSMUSG00000032968|Inha
