ENSMUSG00000046434|Hnrnpa1
ENSMUSG00000034321|Exosc1
ENSMUSG00000028156|Eif4e
ENSMUSG00000059796|Eif4a1
ENSMUSG00000021131|Erh
ENSMUSG00000028953|Abcf2
ENSMUSG00000012405|Rpl15
ENSMUSG00000026095|Asnsd1
ENSMUSG00000030057|Cnbp
ENSMUSG00000035215|Lsm7
ENSMUSG00000002767|Mrpl2
