ENSMUSG00000043061|Tmem18
ENSMUSG00000002064|Sdf2
ENSMUSG00000003316|Glg1
ENSMUSG00000025949|Pikfyve
ENSMUSG00000032244|Fem1b
ENSMUSG00000021374|Nup153
ENSMUSG00000028053|Ash1l
ENSMUSG00000045095|Magi1
ENSMUSG00000021819|Zswim8
ENSMUSG00000031979|Cog2
ENSMUSG00000037408|Cnnm4
