ENSMUSG00000079316|Rab9
ENSMUSG00000068015|Lrch1
ENSMUSG00000024193|Phf1
ENSMUSG00000021831|Ero1l
ENSMUSG00000037669|Ldah
ENSMUSG00000021733|Slc4a7
ENSMUSG00000030727|Rabep2
ENSMUSG00000027272|Ubr1
ENSMUSG00000007670|Khsrp
ENSMUSG00000027163|Commd9
ENSMUSG00000066415|Msl2
