ENSMUSG00000055720|Ubl7
ENSMUSG00000042595|Fam199x
ENSMUSG00000062012|Zfp13
ENSMUSG00000046567|4930430F08Rik
ENSMUSG00000000194|Gpr107
ENSMUSG00000005804|Bloc1s6
ENSMUSG00000070371|Prss36
ENSMUSG00000057667|Bloc1s3
ENSMUSG00000036737|Oxsr1
ENSMUSG00000017667|Zfp334
ENSMUSG00000032393|Dpp8
