ENSMUSG00000052957|Gas1
ENSMUSG00000027624|Epb41l1
ENSMUSG00000026853|Crat
ENSMUSG00000033161|Atp1a1
ENSMUSG00000021994|Wnt5a
ENSMUSG00000024664|Fads3
ENSMUSG00000065979|Cpped1
ENSMUSG00000034109|Golim4
ENSMUSG00000024308|Tapbp
ENSMUSG00000004383|Large1
ENSMUSG00000041594|Tmtc4
