ENSMUSG00000031930|Wwp2
ENSMUSG00000034247|Plekhm1
ENSMUSG00000020376|Rnf130
ENSMUSG00000020189|Osbpl8
ENSMUSG00000030101|Sumf1
ENSMUSG00000026596|Abl2
ENSMUSG00000022108|Itm2b
ENSMUSG00000028191|Bcl10
ENSMUSG00000035248|Zcchc6
ENSMUSG00000004317|Clcn5
ENSMUSG00000028494|Plin2
