ENSMUSG00000025971|Maip1
ENSMUSG00000032299|Commd4
ENSMUSG00000057130|Txnl4a
ENSMUSG00000003435|Supt5
ENSMUSG00000004264|Phb2
ENSMUSG00000008301|Phax
ENSMUSG00000004980|Hnrnpa2b1
ENSMUSG00000027433|Xrn2
ENSMUSG00000041360|Pum3
ENSMUSG00000021645|Smn1
ENSMUSG00000043284|Tmem11
