ENSMUSG00000021217|Tshz3
ENSMUSG00000097248|Gm2694
ENSMUSG00000047658|Gal3st3
ENSMUSG00000022269|March11
ENSMUSG00000040037|Negr1
ENSMUSG00000058331|Zfp85
ENSMUSG00000072294|Klf12
ENSMUSG00000051703|Tmem198
ENSMUSG00000049313|Sorl1
ENSMUSG00000031684|Slc10a7
ENSMUSG00000029651|Mtus2
