ENSMUSG00000035351|Nup37
ENSMUSG00000006715|Gmnn
ENSMUSG00000020923|Ubtf
ENSMUSG00000020888|Dvl2
ENSMUSG00000031904|Slc7a6
ENSMUSG00000020929|Eftud2
ENSMUSG00000020692|Nle1
ENSMUSG00000020211|Sf3a2
ENSMUSG00000031060|Rbm10
ENSMUSG00000039164|Naif1
ENSMUSG00000020454|Eif4enif1
