ENSMUSG00000090101|Snhg9
ENSMUSG00000001376|Vps50
ENSMUSG00000031485|Plpbp
ENSMUSG00000054226|Tprkb
ENSMUSG00000020522|Mfap3
ENSMUSG00000051786|Tubgcp6
ENSMUSG00000039634|Zfp189
ENSMUSG00000031399|Fam3a
ENSMUSG00000060862|Zbtb40
ENSMUSG00000031357|Syap1
ENSMUSG00000073987|Ggh
