ENSMUSG00000098176|Ccdc166
ENSMUSG00000041817|Fam169a
ENSMUSG00000033373|Fntb
ENSMUSG00000033352|Map2k4
ENSMUSG00000013465|Nelfb
ENSMUSG00000014592|Camta1
ENSMUSG00000031360|Ctps2
ENSMUSG00000033460|Armcx1
ENSMUSG00000019791|Hint3
ENSMUSG00000028719|Cmpk1
ENSMUSG00000018428|Akap1
