ENSMUSG00000042709|Atpaf2
ENSMUSG00000047719|Ubiad1
ENSMUSG00000028619|Tceanc2
ENSMUSG00000025575|Cant1
ENSMUSG00000048878|Hexim1
ENSMUSG00000050973|Gdpgp1
ENSMUSG00000055884|Fancm
ENSMUSG00000028772|Zcchc17
ENSMUSG00000037337|Map4k1
ENSMUSG00000049755|Zfp672
ENSMUSG00000047989|Ino80c
