ENSMUSG00000025781|Atp5c1
ENSMUSG00000001416|Cct3
ENSMUSG00000052253|Zfp622
ENSMUSG00000033809|Alg3
ENSMUSG00000071072|Ptges3
ENSMUSG00000055660|Mettl4
ENSMUSG00000026914|Psmd14
ENSMUSG00000038046|Mrm3
ENSMUSG00000036315|Znrd1
ENSMUSG00000071644|Eef1g
ENSMUSG00000071652|Ints5
