ENSMUSG00000029823|Luc7l2
ENSMUSG00000023104|Rfc2
ENSMUSG00000038482|Tfdp1
ENSMUSG00000030726|Pold3
ENSMUSG00000038671|Arfrp1
ENSMUSG00000016477|E2f3
ENSMUSG00000028218|Fam92a
ENSMUSG00000031967|Afg3l1
ENSMUSG00000037474|Dtl
ENSMUSG00000033970|Rfc3
ENSMUSG00000042111|Ccdc115
