ENSMUSG00000024287|Thoc1
ENSMUSG00000057421|Las1l
ENSMUSG00000017428|Psmd11
ENSMUSG00000005698|Ctcf
ENSMUSG00000020843|Timm22
ENSMUSG00000024078|Ttc27
ENSMUSG00000022024|Sugt1
ENSMUSG00000027881|Prpf38b
ENSMUSG00000059278|Naa38
ENSMUSG00000003438|Timm50
ENSMUSG00000061559|Wdr61
