ENSMUSG00000038976|Ppp1r9b
ENSMUSG00000033124|Atg9a
ENSMUSG00000018541|Cwc25
ENSMUSG00000042608|Stk40
ENSMUSG00000040725|Hnrnpul1
ENSMUSG00000014932|Yes1
ENSMUSG00000044477|Zfand3
ENSMUSG00000001150|Mcm3ap
ENSMUSG00000032582|Rbm6
ENSMUSG00000028878|Fam76a
ENSMUSG00000040651|Fam208a
