ENSMUSG00000042410|Agps
ENSMUSG00000009907|Vps4b
ENSMUSG00000018209|Stk4
ENSMUSG00000025403|Shmt2
ENSMUSG00000041926|Rnpep
ENSMUSG00000002428|Hltf
ENSMUSG00000016831|Tox4
ENSMUSG00000027808|Serp1
ENSMUSG00000002458|Rgs19
ENSMUSG00000068580|Zfyve19
ENSMUSG00000020152|Actr2
