ENSMUSG00000018547|Pip4k2b
ENSMUSG00000035086|Becn1
ENSMUSG00000063063|Ctnna2
ENSMUSG00000019796|Lrp11
ENSMUSG00000028937|Acot7
ENSMUSG00000033565|Rbfox2
ENSMUSG00000053192|Mllt11
ENSMUSG00000030451|Herc2
ENSMUSG00000006095|Tbcb
ENSMUSG00000017188|Coa3
ENSMUSG00000031885|Cbfb
