ENSMUSG00000048142|Nat8l
ENSMUSG00000028889|Yrdc
ENSMUSG00000031575|Ash2l
ENSMUSG00000021326|Trim27
ENSMUSG00000024891|Slc29a2
ENSMUSG00000001482|Def8
ENSMUSG00000032279|Idh3a
ENSMUSG00000021576|Pdcd6
ENSMUSG00000016308|Ube2a
ENSMUSG00000050071|Bex1
ENSMUSG00000020781|Tsen54
