ENSMUSG00000052752|Traf7
ENSMUSG00000066149|Cdc26
ENSMUSG00000053838|Nudcd3
ENSMUSG00000032301|Psma4
ENSMUSG00000039244|E130309D02Rik
ENSMUSG00000027206|Cops2
ENSMUSG00000040667|Nup88
ENSMUSG00000032030|Cul5
ENSMUSG00000063052|Lrrc40
ENSMUSG00000029486|Mrpl1
ENSMUSG00000001774|Chordc1
