ENSMUSG00000029034|Ints11
ENSMUSG00000028409|Smu1
ENSMUSG00000055531|Cpsf6
ENSMUSG00000003923|Tfam
ENSMUSG00000030846|Tial1
ENSMUSG00000032249|Anp32a
ENSMUSG00000028948|Nol9
ENSMUSG00000063800|Prpf38a
ENSMUSG00000024742|Fen1
ENSMUSG00000063785|Utp14a
ENSMUSG00000067722|BC003965
