ENSMUSG00000008540|Mgst1
ENSMUSG00000022620|Arsa
ENSMUSG00000013622|Atraid
ENSMUSG00000029270|Fam69a
ENSMUSG00000001151|Pcnt
ENSMUSG00000043415|Otud1
ENSMUSG00000033610|Pank1
ENSMUSG00000036411|9530077C05Rik
ENSMUSG00000047604|Frat2
ENSMUSG00000020212|Mdm1
ENSMUSG00000020723|Cacng4
