ENSMUSG00000038984|Tspyl5
ENSMUSG00000063568|Jazf1
ENSMUSG00000060402|Chst8
ENSMUSG00000048040|Arxes2
ENSMUSG00000031066|Usp11
ENSMUSG00000024565|Sall3
ENSMUSG00000031654|Cbln1
ENSMUSG00000025010|Ccnj
ENSMUSG00000028137|Celf3
ENSMUSG00000027589|Pcmtd2
ENSMUSG00000067199|Frat1
