ENSMUSG00000074807|Gm10762
ENSMUSG00000035285|Nat14
ENSMUSG00000024064|Galnt14
ENSMUSG00000048550|Thnsl1
ENSMUSG00000048100|Taf13
ENSMUSG00000029279|Brdt
ENSMUSG00000032177|Pde4a
ENSMUSG00000061411|Nol4l
ENSMUSG00000032308|Ulk3
ENSMUSG00000036061|Smug1
ENSMUSG00000039452|Snx22
