ENSMUSG00000026662|Sephs1
ENSMUSG00000024135|Srbd1
ENSMUSG00000048109|Rbm15
ENSMUSG00000024878|Cbwd1
ENSMUSG00000034263|Ints14
ENSMUSG00000031601|Cnot7
ENSMUSG00000047710|Champ1
ENSMUSG00000037572|Wdhd1
ENSMUSG00000069495|Epc2
ENSMUSG00000044134|Fam109a
ENSMUSG00000035623|Rsf1
