ENSMUSG00000034551|Hdx
ENSMUSG00000042772|Smg7
ENSMUSG00000028910|Mecr
ENSMUSG00000019826|Zbtb24
ENSMUSG00000028411|Aptx
ENSMUSG00000028433|Ubap2
ENSMUSG00000026096|Osgepl1
ENSMUSG00000035078|Mtmr9
ENSMUSG00000069094|Pde7a
ENSMUSG00000018415|Gid4
ENSMUSG00000044348|Slc25a53
