ENSMUSG00000038871|Bpgm
ENSMUSG00000022797|Tfrc
ENSMUSG00000018659|Pnpo
ENSMUSG00000027495|Fam210b
ENSMUSG00000045215|Asxl3
ENSMUSG00000024014|Pim1
ENSMUSG00000005667|Mthfd2
ENSMUSG00000034165|Ccnd3
ENSMUSG00000033386|Frrs1
ENSMUSG00000032126|Hmbs
ENSMUSG00000031974|Abcb10
