ENSMUSG00000029005|Draxin
ENSMUSG00000020042|Btbd11
ENSMUSG00000024548|Setbp1
ENSMUSG00000066798|Zbtb6
ENSMUSG00000007817|Zmiz1
ENSMUSG00000098318|Lockd
ENSMUSG00000009293|Ube2g2
ENSMUSG00000057234|Mettl15
ENSMUSG00000057093|Zfp607b
ENSMUSG00000032329|Hmg20a
ENSMUSG00000023965|Fbxl17
