ENSMUSG00000022313|Utp23
ENSMUSG00000026102|Inpp1
ENSMUSG00000030127|Cops7a
ENSMUSG00000053746|Ptrh1
ENSMUSG00000027509|Rae1
ENSMUSG00000031917|Nip7
ENSMUSG00000029507|Pus1
ENSMUSG00000026427|Eif2d
ENSMUSG00000027018|Hat1
ENSMUSG00000035397|Klf16
ENSMUSG00000074656|Eif2s2
