ENSMUSG00000029376|Mthfd2l
ENSMUSG00000031246|Sh3bgrl
ENSMUSG00000028670|Lypla2
ENSMUSG00000016409|Nkap
ENSMUSG00000031134|Rbmx
ENSMUSG00000028568|Btf3l4
ENSMUSG00000003033|Ap1m1
ENSMUSG00000030407|Qpctl
ENSMUSG00000023572|Ccndbp1
ENSMUSG00000020257|Wdr82
ENSMUSG00000022771|Ppil2
