ENSMUSG00000020598|Nrcam
ENSMUSG00000049191|Rtl5
ENSMUSG00000045903|Npas4
ENSMUSG00000006930|Hap1
ENSMUSG00000025468|Caly
ENSMUSG00000044550|Tceal3
ENSMUSG00000071860|2900055J20Rik
ENSMUSG00000019986|Ahi1
ENSMUSG00000039740|Alg2
ENSMUSG00000027520|Zdbf2
ENSMUSG00000020436|Gabrg2
