ENSMUSG00000068854|Hist2h2be
ENSMUSG00000033805|Ephx4
ENSMUSG00000008153|Clstn3
ENSMUSG00000029359|Tesc
ENSMUSG00000042734|Ttc9
ENSMUSG00000047787|Flrt1
ENSMUSG00000038042|Ptpdc1
ENSMUSG00000029875|Ccdc184
ENSMUSG00000032346|Ooep
ENSMUSG00000037579|Kcnh3
ENSMUSG00000054920|Klhl5
