ENSMUSG00000035236|Scai
ENSMUSG00000003154|Foxj2
ENSMUSG00000034850|Tmem127
ENSMUSG00000018412|Kansl1
ENSMUSG00000001910|Nacc1
ENSMUSG00000058761|Rnf169
ENSMUSG00000027551|Zfp64
ENSMUSG00000038773|Kdm3b
ENSMUSG00000027668|Mfn1
ENSMUSG00000034135|Sik3
ENSMUSG00000029125|Stx18
