ENSMUSG00000008206|Cers4
ENSMUSG00000024420|Zfp521
ENSMUSG00000041757|Plekha6
ENSMUSG00000053040|Aph1c
ENSMUSG00000059401|Mamld1
ENSMUSG00000028917|Plekhm2
ENSMUSG00000005672|Kit
ENSMUSG00000031666|Rbl2
ENSMUSG00000022434|Fam118a
ENSMUSG00000001768|Rin2
ENSMUSG00000027303|Ptpra
