ENSMUSG00000006932|Ctnnb1
ENSMUSG00000033769|Exoc6b
ENSMUSG00000059486|Kbtbd2
ENSMUSG00000007815|Rhoa
ENSMUSG00000040565|Btaf1
ENSMUSG00000029062|Cdk11b
ENSMUSG00000003429|Rps11
ENSMUSG00000022010|Tsc22d1
ENSMUSG00000018585|Atox1
ENSMUSG00000033287|Kctd17
ENSMUSG00000002981|Clptm1
