ENSMUSG00000015363|Trabd
ENSMUSG00000041354|Rgl2
ENSMUSG00000024983|Vti1a
ENSMUSG00000001098|Kctd10
ENSMUSG00000031758|Cdyl2
ENSMUSG00000026278|Bok
ENSMUSG00000024299|Adamts10
ENSMUSG00000035199|Arl6ip5
ENSMUSG00000024927|Rela
ENSMUSG00000026544|Dusp23
ENSMUSG00000022634|Yaf2
