ENSMUSG00000035561|Aldh1b1
ENSMUSG00000027223|Mapk8ip1
ENSMUSG00000037847|Nmrk1
ENSMUSG00000044067|Gpr22
ENSMUSG00000089917|Uckl1
ENSMUSG00000025656|Arhgef9
ENSMUSG00000018570|2810408A11Rik
ENSMUSG00000028348|Cavin4
ENSMUSG00000006575|Rundc3a
ENSMUSG00000040867|Begain
ENSMUSG00000036782|Klhl13
