ENSMUSG00000030600|Lrfn1
ENSMUSG00000021606|Ndufs6
ENSMUSG00000021124|Vti1b
ENSMUSG00000027952|Pmvk
ENSMUSG00000004187|Kifc2
ENSMUSG00000032131|Abcg4
ENSMUSG00000026113|Inpp4a
ENSMUSG00000047714|Ppp1r2
ENSMUSG00000049086|Bmyc
ENSMUSG00000031631|Cfap97
ENSMUSG00000059714|Flot1
