ENSMUSG00000039765|Cc2d2a
ENSMUSG00000034156|Tspoap1
ENSMUSG00000040795|Iqcc
ENSMUSG00000021068|Nin
ENSMUSG00000040936|Ulk4
ENSMUSG00000021182|Ccdc88c
ENSMUSG00000089661|Mia
ENSMUSG00000022783|Spag6l
ENSMUSG00000098449|Gm7467
ENSMUSG00000038286|Bphl
ENSMUSG00000026504|Sdccag8
