ENSMUSG00000024561|Mbd1
ENSMUSG00000063406|Tmed5
ENSMUSG00000015002|Efr3a
ENSMUSG00000034789|Rab24
ENSMUSG00000033916|Chmp2a
ENSMUSG00000042419|Nfkbil1
ENSMUSG00000039623|Ap5z1
ENSMUSG00000018042|Cyb5r3
ENSMUSG00000031314|Taf1
ENSMUSG00000029598|Plbd2
ENSMUSG00000040652|Oaz2
