ENSMUSG00000005732|Ranbp1
ENSMUSG00000041453|Rpl21
ENSMUSG00000019782|Rwdd1
ENSMUSG00000058503|Fam133b
ENSMUSG00000024145|Pigf
ENSMUSG00000019362|D8Ertd738e
ENSMUSG00000028676|Srsf10
ENSMUSG00000061787|Rps17
ENSMUSG00000024081|Cebpz
ENSMUSG00000043162|Pyurf
ENSMUSG00000003531|Dgcr6
