ENSMUSG00000030315|Vgll4
ENSMUSG00000024120|Lrpprc
ENSMUSG00000037486|Asxl2
ENSMUSG00000056919|Cep162
ENSMUSG00000069806|Cacng7
ENSMUSG00000018931|Natd1
ENSMUSG00000025893|Kbtbd3
ENSMUSG00000034354|Mtmr3
ENSMUSG00000054894|Atp5s
ENSMUSG00000037152|Ndufc1
ENSMUSG00000024410|3110002H16Rik
