ENSMUSG00000021996|Esd
ENSMUSG00000034509|Mad2l1bp
ENSMUSG00000041426|Hibch
ENSMUSG00000025027|Xpnpep1
ENSMUSG00000030805|Stx4a
ENSMUSG00000017307|Acot8
ENSMUSG00000026112|Coa5
ENSMUSG00000025144|Cenpx
ENSMUSG00000053436|Mapk14
ENSMUSG00000015668|Pdzd11
ENSMUSG00000039648|Kyat1
