ENSMUSG00000042364|Snx18
ENSMUSG00000042331|Specc1
ENSMUSG00000039461|Tcta
ENSMUSG00000003410|Elavl3
ENSMUSG00000036053|Fmnl2
ENSMUSG00000027506|Tpd52
ENSMUSG00000011832|Evi5l
ENSMUSG00000093769|Hist2h3c1
ENSMUSG00000069670|Nkain2
ENSMUSG00000044080|S100a1
ENSMUSG00000036206|Sh3bp4
