ENSMUSG00000047921|Trappc9
ENSMUSG00000062825|Actg1
ENSMUSG00000074781|Ube2n
ENSMUSG00000021262|Evl
ENSMUSG00000029472|Anapc5
ENSMUSG00000007564|Ppp2r1a
ENSMUSG00000025104|Hdgfl3
ENSMUSG00000048307|Ankrd46
ENSMUSG00000038936|Sccpdh
ENSMUSG00000031728|Zfp821
ENSMUSG00000092416|Zfp141
