ENSMUSG00000024841|Eif1ad
ENSMUSG00000026615|Eprs
ENSMUSG00000025858|Get4
ENSMUSG00000025722|Wdr73
ENSMUSG00000028245|Nsmaf
ENSMUSG00000027637|1110008F13Rik
ENSMUSG00000025968|Ndufs1
ENSMUSG00000026687|Aldh9a1
ENSMUSG00000029464|Gpn3
ENSMUSG00000006599|Gtf2h1
ENSMUSG00000039183|Nubp2
