ENSMUSG00000026142|Rhbdd1
ENSMUSG00000015305|Sash1
ENSMUSG00000000317|Bcl6b
ENSMUSG00000044328|Trp53i13
ENSMUSG00000039157|Fam102a
ENSMUSG00000022142|Nup155
ENSMUSG00000040093|Bmf
ENSMUSG00000069273|Hist1h3e
ENSMUSG00000007655|Cav1
ENSMUSG00000021180|Rps6ka5
ENSMUSG00000003032|Klf4
