ENSMUSG00000029623|Pdap1
ENSMUSG00000071054|Safb
ENSMUSG00000021810|Ecd
ENSMUSG00000026918|Brd3
ENSMUSG00000059552|Trp53
ENSMUSG00000008604|Ubqln4
ENSMUSG00000032199|Polr2m
ENSMUSG00000003660|Snrnp200
ENSMUSG00000028233|Tgs1
ENSMUSG00000001016|Ilf2
ENSMUSG00000058546|Rpl23a
