ENSMUSG00000033365|Ipo13
ENSMUSG00000025607|Copg2
ENSMUSG00000045045|Lrfn4
ENSMUSG00000044452|Zfp507
ENSMUSG00000031993|Snx19
ENSMUSG00000024241|Sos1
ENSMUSG00000020864|Ankrd40
ENSMUSG00000000881|Dlg3
ENSMUSG00000035759|Bbs10
ENSMUSG00000005442|Cic
ENSMUSG00000020128|Vps54
