ENSMUSG00000003190|Bcl2l12
ENSMUSG00000025264|Tsr2
ENSMUSG00000032477|Cdc25a
ENSMUSG00000006763|Saal1
ENSMUSG00000033581|Igf2bp2
ENSMUSG00000007029|Vars
ENSMUSG00000020167|Tcf3
ENSMUSG00000062937|Mtap
ENSMUSG00000060019|Gm10073
ENSMUSG00000048490|Nrip1
ENSMUSG00000023348|Trip6
