ENSMUSG00000002221|Paxip1
ENSMUSG00000020513|Tubd1
ENSMUSG00000020743|Mif4gd
ENSMUSG00000024666|Tmem138
ENSMUSG00000018648|Dusp14
ENSMUSG00000032121|Tmem218
ENSMUSG00000029022|Miip
ENSMUSG00000032782|Cntrob
ENSMUSG00000059482|2610301B20Rik
ENSMUSG00000028047|Thbs3
ENSMUSG00000029130|Rnf32
