ENSMUSG00000034880|Mrpl34
ENSMUSG00000034875|Nudt19
ENSMUSG00000039693|Msantd3
ENSMUSG00000018666|Cbx1
ENSMUSG00000042079|Hnrnpf
ENSMUSG00000022204|Ngdn
ENSMUSG00000038880|Mrps34
ENSMUSG00000023156|Rpp14
ENSMUSG00000051579|Tceal8
ENSMUSG00000070699|Sars2
ENSMUSG00000016619|Nup50
