ENSMUSG00000026347|Tmem163
ENSMUSG00000035093|Secisbp2l
ENSMUSG00000062591|Tubb4a
ENSMUSG00000035107|Dcbld2
ENSMUSG00000068373|D430041D05Rik
ENSMUSG00000043154|Ppp2r3a
ENSMUSG00000022639|Dubr
ENSMUSG00000030638|Sh3gl3
ENSMUSG00000025375|Aatk
ENSMUSG00000026109|Tmeff2
ENSMUSG00000087259|2610035D17Rik
