ENSMUSG00000061104|Sap18b
ENSMUSG00000029681|Bcl7b
ENSMUSG00000029060|Mib2
ENSMUSG00000024505|Dtwd2
ENSMUSG00000020359|Phykpl
ENSMUSG00000021468|Sptlc1
ENSMUSG00000022089|Bin3
ENSMUSG00000022560|Slc52a2
ENSMUSG00000021615|Xrcc4
ENSMUSG00000067377|Tspan6
ENSMUSG00000015474|Ppt2
