ENSMUSG00000018796|Acsl1
ENSMUSG00000051495|Irf2bp2
ENSMUSG00000028518|Prkaa2
ENSMUSG00000029439|Sfswap
ENSMUSG00000020132|Rab21
ENSMUSG00000020776|Fbf1
ENSMUSG00000024807|Syvn1
ENSMUSG00000049354|Dcaf7
ENSMUSG00000052707|Tnrc6a
ENSMUSG00000032594|Ip6k1
ENSMUSG00000032405|Pias1
