ENSMUSG00000002365|Snx9
ENSMUSG00000017493|Igfbp4
ENSMUSG00000033446|Lpar6
ENSMUSG00000052151|Plpp2
ENSMUSG00000002289|Angptl4
ENSMUSG00000049686|Orai1
ENSMUSG00000022246|Rai14
ENSMUSG00000040631|Dok4
ENSMUSG00000051034|Zfp11
ENSMUSG00000025372|Baiap2
ENSMUSG00000020831|0610010K14Rik
