ENSMUSG00000062078|Qk
ENSMUSG00000052364|B630019K06Rik
ENSMUSG00000034926|Dhcr24
ENSMUSG00000059316|Slc27a4
ENSMUSG00000022744|Cldnd1
ENSMUSG00000035413|Tmem98
ENSMUSG00000034586|Hid1
ENSMUSG00000040268|Plekha1
ENSMUSG00000004892|Bcan
ENSMUSG00000041889|Shisa4
ENSMUSG00000020422|Tns3
