ENSMUSG00000025016|Tm9sf3
ENSMUSG00000010110|Stx5a
ENSMUSG00000058793|Cds2
ENSMUSG00000042121|Ssh1
ENSMUSG00000054808|Actn4
ENSMUSG00000027519|Rab22a
ENSMUSG00000026470|Stx6
ENSMUSG00000054693|Adam10
ENSMUSG00000027854|Sike1
ENSMUSG00000058594|Fbxo18
ENSMUSG00000011096|Akt1s1
