ENSMUSG00000031889|D230025D16Rik
ENSMUSG00000020170|Frs2
ENSMUSG00000045107|Saysd1
ENSMUSG00000022781|Pak2
ENSMUSG00000000326|Comt
ENSMUSG00000026121|Sema4c
ENSMUSG00000011960|Ccnt1
ENSMUSG00000024260|Sap130
ENSMUSG00000052794|1700030K09Rik
ENSMUSG00000024425|Ndfip1
ENSMUSG00000031059|Ndufb11
