ENSMUSG00000091449|Gm10269
ENSMUSG00000031668|Eif2ak3
ENSMUSG00000032184|Lysmd2
ENSMUSG00000022125|Cln5
ENSMUSG00000037349|Nudt22
ENSMUSG00000036391|Sec24a
ENSMUSG00000011256|Adam19
ENSMUSG00000078779|Zfp59
ENSMUSG00000024816|Frmd8
ENSMUSG00000085525|Gm13166
ENSMUSG00000044952|Kctd21
