ENSMUSG00000061479|Snrpa
ENSMUSG00000005625|Psmd4
ENSMUSG00000030802|Bckdk
ENSMUSG00000028416|Bag1
ENSMUSG00000041459|Tardbp
ENSMUSG00000019373|Cops3
ENSMUSG00000029152|Ociad1
ENSMUSG00000019432|Ddx39b
ENSMUSG00000061136|Prpf40a
ENSMUSG00000059409|Ppp2r5d
ENSMUSG00000022752|Tomm70a
